key	selectors	sites	note
oneof	schema.oneOf	src/ir.rs::union_variants,src/ir.rs::Builder::add_named[if let Some\(variants\) = schema\.one_of\.as_ref\(\)\.or\(schema\.any_of\.as_ref\(\)\) \{],src/ir.rs::Builder::discriminated_union,src/ir.rs::Builder::variant_ref[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{],src/openapi.rs::collapse_sole_composition_member	
anyof	schema.anyOf	src/ir.rs::union_variants,src/ir.rs::Builder::add_named[if let Some\(variants\) = schema\.one_of\.as_ref\(\)\.or\(schema\.any_of\.as_ref\(\)\) \{],src/ir.rs::Builder::field_type_ref[if let Some\(members\) = prop_schema\.any_of\.as_ref\(\)\.or\(prop_schema\.one_of\.as_ref\(\)\) \{],src/ir.rs::simple_nullable_member,src/openapi.rs::collapse_sole_composition_member	
not	schema.not	none	
items	schema.items	src/ir.rs::base_type_ref[Some\("array"\) => \{],src/ir.rs::array_item_type_ref,src/ir.rs::Builder::nested_array_element,src/ir.rs::InlineHoister::hoist_array_item_type	
properties	schema.properties	src/ir.rs::Builder::collect_fields,src/ir.rs::InlineHoister::hoist_object_fields,src/ir.rs::hoist_inline_object,src/ir.rs::is_inline_object,src/ir.rs::is_inline_struct	
additional-properties-boolean-true	schema.additionalProperties=true	src/ir.rs::is_map,src/ir.rs::base_type_ref[=Some\(AdditionalProperties::Bool\(true\)\) =>],src/ir.rs::is_object_type	
additional-properties-boolean-false	schema.additionalProperties=false	src/ir.rs::is_inline_struct,src/ir.rs::is_closed_empty_object,src/ir.rs::resolve_request_body[if schema\.ty\.as_ref\(\)\.and_then\(\x7cty\x7c ty\.primary\(\)\) == Some\("object"\)$]	
additional-properties-schema	schema.additionalProperties	src/ir.rs::is_map,src/ir.rs::base_type_ref[Some\(AdditionalProperties::Schema\(value\)\) => \{],src/ir.rs::Builder::add_named[if is_map\(schema\) && schema\.all_of\.is_none\(\) \{],src/ir.rs::Builder::field_type_ref[if is_map\(prop_schema\) && is_optional\(prop_schema\) \{],src/ir.rs::nullable_map_value_type_ref,src/ir.rs::legacy_nullable_map_type_ref	
description	schema.description	src/ir.rs::property_description,src/ir.rs::clean_doc,src/ir.rs::declared_doc,src/ir.rs::described_all_of_ref	
format	schema.format	src/ir.rs::base_type_ref[Some\("string"\) => match schema\.format],src/ir.rs::scalar_body["string" => match schema\.format],src/ir.rs::number_prim,src/ir.rs::int_prim	
default	schema.default	src/ir.rs::build_endpoint[\.filter_map\(\x7cp\x7c \{]	
nullable	schema.nullable	src/openapi.rs::Schema::explicitly_nullable,src/openapi.rs::normalize_nullable_schema_refs,src/ir.rs::InlineHoister::hoist_union_variant[return if variant\.nullable == Some\(true\) \{],src/ir.rs::nullable_member,src/ir.rs::Builder::variant_ref[if variant\.reference\.is_none\(\) && variant\.nullable == Some\(true\)],src/ir.rs::base_type_ref[if i\.nullable == Some\(true\) \{]	
discriminator	schema.discriminator	src/ir.rs::Builder::discriminated_union,src/ir.rs::Builder::inheritance_discriminated_union,src/ir.rs::is_inheritance_union_base,src/ir.rs::collect_discriminant_strips[if let Some\(discriminator\) = &schema\.discriminator \{],src/ir.rs::Builder::field_type_ref[if prop_schema\.discriminator\.is_some\(\) \x7c\x7c members\.len\(\) > 1 \{]	`field_type_ref`'s inheritance-union item arm is the `gap` row `array-item-inheritance-union`'s, not every discriminator's
read-only	schema.readOnly	src/ir.rs::schema_property_is_read_only,src/ir.rs::Builder::collect_fields,src/ir.rs::InlineHoister::hoist_object_fields,src/ir.rs::append_member_fields[fields\.push\(Field \{],src/ir.rs::build[if endpoint\.body_schema_dropped \{]	
write-only	schema.writeOnly	none	
xml	schema.xml	none	
externaldocs	schema.externalDocs	none	
example	schema.example	src/ir.rs::schema_example,src/ir.rs::schema_example_literal,src/ir.rs::parameter_example_value,src/ir.rs::array_item_example,src/ir.rs::example_is_schema_definition,src/ir.rs::Builder::add_object[if let Some\(example\) = schema_example\(schema\)]	
deprecated	schema.deprecated	none	
dollar-schema	schema.$schema	none	
dollar-id	schema.$id	none	
dollar-ref	schema.$ref	src/ir.rs::base_type_ref[if let Some\(reference\) = &schema\.reference \{],src/ir.rs::ref_to_class,src/ir.rs::resolve_ref,src/ir.rs::resolve_ref_from_schemas,src/ir.rs::resolve_schema_pointer,src/refs.rs::Resolver::resolve_schema	
dollar-defs	schema.$defs	none	
dollar-comment	schema.$comment	none	
prefix-items	schema.prefixItems	none	
pattern-properties	schema.patternProperties	none	
property-names	schema.propertyNames	none	
if	schema.if	none	
then	schema.then	none	
else	schema.else	none	
unevaluated-properties	schema.unevaluatedProperties	none	
type-array-with-null	schema.type=null	src/openapi.rs::TypeField::primary,src/openapi.rs::Schema::explicitly_nullable	
type-array-multi-nonnull	schema.type	src/openapi.rs::normalize_multi_type_schemas,src/ir.rs::Builder::variant_ref[if variant\.multi_type_union \{]	
const	schema.const	src/ir.rs::string_enum_values[\} else \{],src/ir.rs::preserve_const_discriminant,src/ir.rs::inferred_strip_discriminant_property	
dependent-required	schema.dependentRequired	none	
examples	schema.examples	src/openapi.rs::de_schema_examples,src/ir.rs::schema_example,src/ir.rs::schema_example_literal	
format-date-time	schema.format=date-time	src/ir.rs::base_type_ref[=Some\("date-time"\)],src/ir.rs::scalar_body[=Some\("date-time"\)],src/emit.rs::render_type[Prim::Datetime => \{],src/emit.rs::raw_type_str_ctx[TypeRef::Primitive\(Prim::Datetime\) => \{],src/emit.rs::ExampleCtx::value[TypeRef::Primitive\(Prim::Datetime\) => \{]	
format-date	schema.format=date	src/ir.rs::base_type_ref[=Some\("date"\) =>],src/ir.rs::scalar_body[=Some\("date"\) =>],src/emit.rs::render_type[Prim::Date => \{],src/emit.rs::raw_type_str_ctx[TypeRef::Primitive\(Prim::Date\) => \{],src/emit.rs::ExampleCtx::value[TypeRef::Primitive\(Prim::Date\) => \{]	
format-time	schema.format=time	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-duration	schema.format=duration	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-email	schema.format=email	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-hostname	schema.format=hostname	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-ipv4	schema.format=ipv4	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-uuid	schema.format=uuid	src/ir.rs::scalar_body[=Some\("uuid" \x7c "byte"\)],src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]	
format-uri	schema.format=uri	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-uri-reference	schema.format=uri-reference	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-uri-template	schema.format=uri-template	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-json-pointer	schema.format=json-pointer	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-regex	schema.format=regex	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-int32	schema.format=int32	src/ir.rs::number_prim[=Some\("int32" \x7c "int64"\)],src/ir.rs::int_prim	
format-int64	schema.format=int64	src/ir.rs::int_prim,src/ir.rs::number_prim[=Some\("int32" \x7c "int64"\)],src/emit.rs::ExampleCtx::value[=TypeRef::Primitive\(Prim::Long\) =>]	
format-float	schema.format=float	src/ir.rs::number_prim[=_ => Prim::Float]	
format-double	schema.format=double	src/ir.rs::number_prim[=_ => Prim::Float]	
format-password	schema.format=password	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)],src/ir.rs::scalar_body[=^ {12}_ => return None]	
format-byte	schema.format=byte	src/ir.rs::scalar_body[=Some\("uuid" \x7c "byte"\)],src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]	
format-binary	schema.format=binary	src/ir.rs::base_type_ref[=Some\("binary"\)],src/ir.rs::is_binary_response,src/ir.rs::has_binary_schema_response,src/ir.rs::has_wildcard_binary_response,src/ir.rs::resolve_request_body[let binary_media = \x7cmedia_type],src/ir.rs::hoist_form_object[let binary_scalar = \x7cschema: &Schema\x7c \{],src/ir.rs::Builder::variant_ref[match base_type_ref\(variant\) \{]	
content-encoding	schema.contentEncoding	none	
content-media-type	schema.contentMediaType	none	
content-schema	schema.contentSchema	none	
boolean-schema-false	schema.unevaluatedProperties	none	
ref-siblings	schema.$ref	src/ir.rs::Builder::collect_fields,src/ir.rs::property_description,src/ir.rs::hoist_inline_object,src/ir.rs::success_response[if schema\.reference\.is_none\(\) && is_optional\(schema\) \{]	
recursive-graph	schema.$ref	src/emit.rs::forward_ref_map,src/emit.rs::forward_repair_map[if reaches_cycle \{],src/emit.rs::render_type_decl[if !forward\.is_empty\(\) \x7c\x7c needs_forward \{],src/emit.rs::update_forward_refs_call,src/ir.rs::Builder::add_object[if !self\.building_types\.insert]	
mutually-recursive-graph	schema.$ref	src/emit.rs::forward_ref_map,src/emit.rs::forward_repair_map[if reaches_cycle \{],src/emit.rs::render_type_decl[if !forward\.is_empty\(\) \x7c\x7c needs_forward \{],src/emit.rs::update_forward_refs_call,src/ir.rs::Builder::add_object[if !self\.building_types\.insert]	
cycle-via-additionalProperties	schema.additionalProperties	src/emit.rs::forward_ref_map,src/emit.rs::forward_repair_map[if reaches_cycle \{],src/ir.rs::collect_standalone_references[if let Some\(AdditionalProperties::Schema\(child\)\)],src/ir.rs::Builder::add_named[if is_map\(schema\) && schema\.all_of\.is_none\(\) \{]	
nesting-depth-ge-15	schema.properties:non-empty	src/ir.rs::InlineHoister::prop_type_ref[if prop_schema\.reference\.is_none\(\) && is_inline_struct\(prop_schema\) \{],src/ir.rs::Builder::field_type_ref[if is_inline_struct\(prop_schema\)$],src/naming.rs::child_class_name	
all-of-nested-composition	schema.anyOf>schema.allOf,schema.oneOf>schema.allOf	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::is_inline_object,src/ir.rs::Builder::variant_ref[if is_inline_object\(variant\) \x7c\x7c is_declared_empty_object\(variant\) \{],src/ir.rs::Builder::variant_ref[if described_all_of_ref\(variant\)\.is_some\(\) \{]	
any-of-nested-composition	schema.anyOf	src/ir.rs::Builder::variant_ref[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{],src/ir.rs::Builder::add_object[if let Some\(branches\) = member\.one_of],src/ir.rs::union_variants	
one-of-nested-composition	schema.oneOf	src/ir.rs::Builder::variant_ref[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{],src/ir.rs::Builder::add_object[if let Some\(branches\) = member\.one_of],src/ir.rs::union_variants	
not-nested-composition	schema.not	none	
discriminator-property-name	schema.discriminator.propertyName	src/ir.rs::Builder::discriminated_union,src/ir.rs::Builder::inheritance_discriminated_union,src/ir.rs::is_inheritance_union_base,src/ir.rs::collect_discriminant_strips[if let Some\(property\) = property \{]	
discriminator-mapping	schema.discriminator.mapping	src/ir.rs::Builder::discriminated_union,src/ir.rs::Builder::inheritance_discriminated_union[for \(value. reference\) in &discriminator\.mapping \{],src/ir.rs::collect_discriminant_strips[for reference in discriminator\.mapping\.values\(\) \{],src/openapi.rs::collect_schema_refs[if let Some\(disc\) = &schema\.discriminator \{]	`field_type_ref`'s inheritance-union item arm is the `gap` row `array-item-inheritance-union`'s, not every mapping's
xml-name	schema.xml.name	none	
xml-namespace	schema.xml.namespace	none	
xml-attribute	schema.xml.attribute	none	
normalization-collision	components.schemas:normalized-collision	src/ir.rs::deduplicate_type_names,src/naming.rs::class_name	
items-ref-element	schema.items>schema.$ref	src/ir.rs::Builder::nested_array_element[if items.reference.is_some\(\) \{],src/ir.rs::InlineHoister::hoist_array_item_type[if item_schema.reference.is_some\(\) \{]	
items-oneof-element	schema.items>schema.oneOf	src/ir.rs::Builder::nested_array_element[if let Some\(members\) = items.one_of],src/ir.rs::InlineHoister::hoist_array_item_type[if let Some\(members\) = item_schema.one_of]	
items-anyof-element	schema.items>schema.anyOf	src/ir.rs::Builder::nested_array_element[if let Some\(members\) = items.one_of],src/ir.rs::InlineHoister::hoist_array_item_type[if let Some\(members\) = item_schema.one_of]	
oneof-ref-variant	schema.oneOf>schema.$ref	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(reference\) = &variant.reference \{],src/ir.rs::Builder::variant_ref[if let Some\(reference\) = &variant.reference \{]	
anyof-ref-variant	schema.anyOf>schema.$ref	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(reference\) = &variant.reference \{],src/ir.rs::Builder::variant_ref[if let Some\(reference\) = &variant.reference \{]	
oneof-string-enum-variant	schema.oneOf>schema.enum:string-valued	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::Builder::variant_ref[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::string_enum_values	
anyof-string-enum-variant	schema.anyOf>schema.enum:string-valued	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::Builder::variant_ref[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::string_enum_values	
oneof-string-const-variant	schema.oneOf>schema.const:string-valued	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::Builder::variant_ref[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::string_enum_values	
anyof-string-const-variant	schema.anyOf>schema.const:string-valued	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::Builder::variant_ref[if let Some\(values\) = string_enum_values\(variant\) \{],src/ir.rs::string_enum_values	
oneof-allof-variant	schema.oneOf>schema.allOf	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::is_inline_object	
anyof-allof-variant	schema.anyOf>schema.allOf	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::Builder::variant_ref[if described_all_of_ref\(variant\)\.is_some\(\) \{],src/ir.rs::Builder::variant_ref[if is_inline_object\(variant\) \x7c\x7c is_declared_empty_object\(variant\) \{],src/ir.rs::is_inline_object	
oneof-oneof-variant	schema.oneOf>schema.oneOf	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{]	
anyof-oneof-variant	schema.anyOf>schema.oneOf	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{]	
anyof-anyof-variant	schema.anyOf>schema.anyOf	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{]	
property-oneof-composition	schema.properties>schema.oneOf	src/ir.rs::InlineHoister::prop_type_ref[if let Some\(members\) = prop_schema.one_of]	
property-anyof-composition	schema.properties>schema.anyOf	src/ir.rs::InlineHoister::prop_type_ref[if let Some\(members\) = prop_schema.one_of]	
type-primary-array	schema.type:primary=array	src/openapi.rs::TypeField::primary,src/ir.rs::InlineHoister::hoist_union_variant[if variant.ty.as_ref\(\)],src/ir.rs::InlineHoister::prop_type_ref[if prop_schema.ty.as_ref\(\)]	`nested_array_element`'s nested-array recursion is `items-nested-array-element`'s arm, not every array's
properties-non-empty	schema.properties:non-empty	src/ir.rs::is_inline_struct,src/ir.rs::is_inline_object,src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::InlineHoister::prop_type_ref[is_inline_struct\(prop_schema\) \{]	`nested_array_element`'s inline-struct item arm is the array-of-arrays case, not every property map's
oneof-sole-member	schema.oneOf:sole-member	src/ir.rs::InlineHoister::prop_type_ref[if members.len\(\) == 1 && is_inline_struct],src/ir.rs::InlineHoister::hoist_array_item_type[if members.len\(\) == 1 && is_inline_struct],src/openapi.rs::collapse_sole_composition_member	
anyof-sole-member	schema.anyOf:sole-member	src/ir.rs::InlineHoister::hoist_array_item_type[if members.len\(\) == 1 && is_inline_struct],src/openapi.rs::collapse_sole_composition_member	`InlineHoister::prop_type_ref`'s inline-struct sole-member arm is the `gap` row `property-sole-anyof-struct-member`'s
oneof-sole-non-null-member	schema.oneOf:sole-non-null-member	src/ir.rs::simple_nullable_member,src/ir.rs::InlineHoister::prop_type_ref[if non_null.len\(\) == 1],src/ir.rs::InlineHoister::hoist_union_variant[simple_nullable_member\(item\) \{]	
anyof-sole-non-null-member	schema.anyOf:sole-non-null-member	src/ir.rs::simple_nullable_member,src/ir.rs::InlineHoister::prop_type_ref[if non_null.len\(\) == 1]	`hoist_union_variant`'s nullable array-item arm is the `gap` rows `anyof-array-variant-anyof-nullable-item`, `anyof-array-variant-oneof-nullable-item` and `oneof-array-variant-anyof-nullable-item`'s
enum-string-valued	schema.enum:string-valued	src/ir.rs::string_enum_values,src/ir.rs::InlineHoister::prop_type_ref[string_enum_values\(prop_schema\) \{],src/ir.rs::Builder::field_type_ref[^\s*if let Some\(values\) = string_enum_values\(prop_schema\) \{]	
const-string-valued	schema.const:string-valued	src/ir.rs::string_enum_values,src/ir.rs::InlineHoister::prop_type_ref[string_enum_values\(prop_schema\) \{],src/ir.rs::Builder::field_type_ref[^\s*if let Some\(values\) = string_enum_values\(prop_schema\) \{]	
items-nested-array-element	schema.items>schema.type:primary=array	src/ir.rs::Builder::nested_array_element[^\s*\{$]	
items-inline-struct-element	schema.items>schema.properties:non-empty	src/ir.rs::Builder::nested_array_element[if is_inline_struct\(items\) \{],src/ir.rs::is_inline_struct	
items-closed-object-element	schema.items>schema.additionalProperties=false	src/ir.rs::Builder::nested_array_element[if is_inline_struct\(items\) \{],src/ir.rs::is_inline_struct	
oneof-array-variant-oneof-nullable-item	schema.oneOf>schema.type:primary=array&schema.items>schema.oneOf:sole-non-null-member	src/ir.rs::InlineHoister::hoist_union_variant[simple_nullable_member\(item\) \{],src/ir.rs::simple_nullable_member	
anyof-array-variant-anyof-nullable-item	schema.anyOf>schema.type:primary=array&schema.items>schema.anyOf:sole-non-null-member	src/ir.rs::InlineHoister::hoist_union_variant[simple_nullable_member\(item\) \{],src/ir.rs::simple_nullable_member	
anyof-array-variant-oneof-nullable-item	schema.anyOf>schema.type:primary=array&schema.items>schema.oneOf:sole-non-null-member	src/ir.rs::InlineHoister::hoist_union_variant[simple_nullable_member\(item\) \{],src/ir.rs::simple_nullable_member	
oneof-array-variant-oneof-item	schema.oneOf>schema.type:primary=array&schema.items>schema.oneOf	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = item.one_of]	
oneof-array-variant-anyof-item	schema.oneOf>schema.type:primary=array&schema.items>schema.anyOf	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = item.one_of]	
anyof-array-variant-oneof-item	schema.anyOf>schema.type:primary=array&schema.items>schema.oneOf	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = item.one_of]	
anyof-array-variant-anyof-item	schema.anyOf>schema.type:primary=array&schema.items>schema.anyOf	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = item.one_of]	
oneof-array-variant-struct-item	schema.oneOf>schema.type:primary=array&schema.items>schema.properties:non-empty	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
anyof-array-variant-struct-item	schema.anyOf>schema.type:primary=array&schema.items>schema.properties:non-empty	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
oneof-array-variant-closed-object-item	schema.oneOf>schema.type:primary=array&schema.items>schema.additionalProperties=false	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
anyof-array-variant-closed-object-item	schema.anyOf>schema.type:primary=array&schema.items>schema.additionalProperties=false	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
oneof-inline-object-variant	schema.oneOf>schema.properties:non-empty	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::is_inline_object	
anyof-inline-object-variant	schema.anyOf>schema.properties:non-empty	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::is_inline_object	
oneof-empty-object-variant	schema.oneOf>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::is_declared_empty_object	
anyof-empty-object-variant	schema.anyOf>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::is_declared_empty_object	
anyof-closed-empty-object-variant	schema.anyOf>!schema.properties:non-empty&schema.additionalProperties=false&schema.properties&schema.type:primary=object	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$],src/ir.rs::is_declared_empty_object	
property-string-enum	schema.properties>schema.enum:string-valued	src/ir.rs::InlineHoister::prop_type_ref[string_enum_values\(prop_schema\) \{],src/ir.rs::Builder::field_type_ref[^\s*if let Some\(values\) = string_enum_values\(prop_schema\) \{],src/ir.rs::string_enum_values	
property-string-const	schema.properties>schema.const:string-valued	src/ir.rs::InlineHoister::prop_type_ref[string_enum_values\(prop_schema\) \{],src/ir.rs::Builder::field_type_ref[^\s*if let Some\(values\) = string_enum_values\(prop_schema\) \{],src/ir.rs::string_enum_values	
property-inline-struct	schema.properties>schema.properties:non-empty	src/ir.rs::InlineHoister::prop_type_ref[is_inline_struct\(prop_schema\) \{],src/ir.rs::is_inline_struct	
property-closed-object	schema.properties>schema.additionalProperties=false	src/ir.rs::InlineHoister::prop_type_ref[is_inline_struct\(prop_schema\) \{],src/ir.rs::is_inline_struct	
property-oneof-nullable-pair	schema.properties>schema.oneOf:sole-non-null-member	src/ir.rs::InlineHoister::prop_type_ref[if non_null.len\(\) == 1]	
property-anyof-nullable-pair	schema.properties>schema.anyOf:sole-non-null-member	src/ir.rs::InlineHoister::prop_type_ref[if non_null.len\(\) == 1]	
property-sole-oneof-struct-member	schema.properties>schema.oneOf:sole-member&schema.oneOf>schema.properties:non-empty	src/ir.rs::InlineHoister::prop_type_ref[if members.len\(\) == 1 && is_inline_struct]	
property-sole-anyof-struct-member	schema.properties>schema.anyOf:sole-member&schema.anyOf>schema.properties:non-empty	src/ir.rs::InlineHoister::prop_type_ref[if members.len\(\) == 1 && is_inline_struct]	
property-sole-oneof-closed-object-member	schema.properties>schema.oneOf:sole-member&schema.oneOf>schema.additionalProperties=false	src/ir.rs::InlineHoister::prop_type_ref[if members.len\(\) == 1 && is_inline_struct]	
property-sole-anyof-closed-object-member	schema.properties>schema.anyOf:sole-member&schema.anyOf>schema.additionalProperties=false	src/ir.rs::InlineHoister::prop_type_ref[if members.len\(\) == 1 && is_inline_struct]	
property-array-type	schema.properties>schema.type:primary=array	src/ir.rs::InlineHoister::prop_type_ref[if prop_schema.ty.as_ref\(\)],src/ir.rs::InlineHoister::hoist_array_item_type	
ref-pointer-cross-document	schema.$ref:cross-document	src/refs.rs::split_external,src/refs.rs::split_remote,src/refs.rs::Resolver::resolve_schema,src/refs.rs::Resolver::resolve_reference,src/refs.rs::Resolver::import_named_schema	`src/ir.rs::ref_to_class`'s cross-document arm: `src/refs.rs` rewrites every cross-document `$ref` to a local one before `ir.rs` reads it
ref-pointer-same-document-foreign	schema.$ref:same-document-foreign-pointer	src/openapi.rs::normalize_response_schema_refs,src/openapi.rs::resolve_response_schema_refs,src/ir.rs::ref_to_class[let Some\(pointer\) = reference.strip_prefix],src/ir.rs::base_type_ref[if let Some\(reference\) = &schema.reference \{]	
ref-pointer-nested-properties	schema.$ref:nested-properties	src/ir.rs::ref_to_class["properties" if index],src/ir.rs::resolve_schema_pointer[^\s*"properties" => \{]	
ref-pointer-nested-items	schema.$ref:nested-items	src/ir.rs::ref_to_class["items" => \{],src/ir.rs::resolve_schema_pointer[^\s*"items" => \{]	
ref-pointer-composition-index	schema.$ref:composition-index	src/ir.rs::ref_to_class[while index < parts.len\(\) \{],src/ir.rs::resolve_schema_pointer[^\s*"allOf" => \{],src/ir.rs::resolve_schema_pointer[^\s*"oneOf" => \{],src/ir.rs::resolve_schema_pointer[^\s*"anyOf" => \{]	
ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	src/ir.rs::ref_to_class[=_ => index \+= 1],src/ir.rs::resolve_schema_pointer[=_ => return None]	
ref-pointer-undeclared-component-head	schema.$ref:undeclared-component-head	src/ir.rs::resolve_schema_pointer[let mut schema = schemas\.get\(parts\.next\(\)\?\)\?]	
annotated-ref-property	schema.properties>schema.allOf:annotated-ref	src/ir.rs::InlineHoister::prop_type_ref[^ {8}\{$],src/ir.rs::described_all_of_ref	
annotated-ref-target-string-enum	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.enum:string-valued	src/ir.rs::InlineHoister::prop_type_ref[string_enum_values\(&target\) \{]	
annotated-ref-target-anyof	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.anyOf	src/ir.rs::InlineHoister::prop_type_ref[if target.one_of.is_some\(\)],src/ir.rs::InlineHoister::hoist_named_copy	
annotated-ref-target-oneof	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.oneOf	src/ir.rs::InlineHoister::prop_type_ref[if target.one_of.is_some\(\)],src/ir.rs::InlineHoister::hoist_named_copy	
annotated-ref-target-struct	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.properties:non-empty	src/ir.rs::InlineHoister::prop_type_ref[^ {16}\{$]	
annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	src/ir.rs::InlineHoister::prop_type_ref[^ {16}\{$]	
annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	src/ir.rs::InlineHoister::prop_type_ref[^ {16}\{$]	
anyof-array-variant-annotated-ref-item	schema.anyOf>schema.type:primary=array&schema.items>schema.allOf:annotated-ref&schema.allOf>schema.$ref:resolves-to-component	src/ir.rs::InlineHoister::hoist_union_variant[^ {16}\{$],src/ir.rs::InlineHoister::hoist_named_copy	
annotated-ref-shape	schema.allOf:annotated-ref	src/ir.rs::described_all_of_ref,src/ir.rs::InlineHoister::prop_type_ref[^ {8}\{$],src/ir.rs::InlineHoister::hoist_union_variant[^ {16}\{$],src/ir.rs::Builder::annotated_ref_type	
